||∇f(x)|| f(x)
14.79999989262954 39.79581781499764
14.754461684233952 39.57711480926194
14.709068102091134 39.35975555694317
14.663818696953445 39.14373166913273
14.618713020987748 38.9290348094056
14.573750627770966 38.715656693492
14.52893107228567 38.5035890889509
14.484253910915658 38.292823814845704
14.43971870144156 38.08335274142193
14.395325003036454 37.87516778978692
14.3510723762615 37.668260931591526
14.306960383061579 37.46262418871378
14.262988586760954 37.25824963294464
14.219156552058942 37.055129385675556
14.175463845025586 36.85325561758809
14.131910033097357 36.65262054834548
14.088494685072886 36.45321644628608
14.045217371108656 36.25503562811874
14.00207766271475 36.05807045862013
13.959075132750622 35.86231335033391
13.916209355420822 35.6677567632718
13.873479906270813 35.474393204616504
13.83088636218273 35.28221522842656
13.788428301371184 35.09121543534294
13.746105303379112 34.90138647229754
13.703916949073566 34.71272103222352
13.661862820641563 34.52521185376739
13.619942501585966 34.33885172100294
13.578155576721311 34.153633463146974
13.53650163216972 33.96954995427678
13.494980255356772 33.78659411304939
13.453591035007422 33.60475890242262
13.412333561141912 33.42403732937778
13.371207425071704 33.244422444644265
13.330212219395424 33.06590734242569
13.289347537994814 32.88848516012784
13.248612976030703 32.71214907808836
13.208008129938985 32.53689231930803
13.167532597426623 32.36270814918381
13.127185977467631 32.189589875243506
13.08696787029912 32.01753084688211
13.046877877417305 31.846524455099804
13.006915601573562 31.676564132241605
12.967080646770476 31.5076433517386
12.927372618257902 31.339755627850835
12.887791122529059 31.17289451541182
12.848335767316607 31.00705360957461
12.80900616158876 30.84222654555947
12.769801915545386 30.678406998403176
12.730722640614156 30.515588682709772
12.691767949446659 30.35376535240304
12.652937455914572 30.192930800480358
12.614230775105808 30.033078858768242
12.575647523320706 29.8742033976793
12.537187318068195 29.716298325970794
12.49884977806202 29.559357590504668
12.460634523216923 29.40337517600908
12.422541174644882 29.248345104841455
12.384569354651342 29.09426143675296
12.346718686731458 28.941118268654552
12.30898879556634 28.788909734384376
12.271379307019341 28.63763000447672
12.23388984813232 28.487273285932332
12.196520047121929 28.337833821990245
12.15926953337594 28.18930589190097
12.122137937449532 28.041683810701155
12.085124891061623 27.89496192898964
12.048230027091208 27.749134632704877
12.011452979573706 27.604196342903812
11.974793383697317 27.46014151554209
11.938250875799397 27.316964641255684
11.90182509336282 27.174660245143837
11.865515675012395 27.0332228865534
11.829322260511253 26.892647158864538
11.793244490757257 26.75292768927769
11.757282007779441 26.614059138602002
11.721434454734439 26.476036201044934
11.685701475902924 26.338853604003297
11.650082716686075 26.202506107855537
11.614577823602046 26.066988505755344
11.579186444282433 25.93229562342654
11.54390822746878 25.798422318959254
11.508742823009063 25.665363482607393
11.473689881854224 25.53311403658735
11.43874905605466 25.401668934877964
11.403919998756788 25.271023163021788
11.369202364199566 25.14117173792755
11.334595807711068 25.012109707673854
11.300099985705023 24.883832151314138
11.2657145556774 24.756334178682827
11.231439176203008 24.6296109302027
11.197273506932069 24.503657576693488
11.163217208586838 24.378469319181633
11.129269942958217 24.254041388711276
11.095431372902372 24.13036904615639
11.061701162337386 24.00744758203411
11.028078976239895 23.885272316319238
10.994564480641753 23.7638385982599
10.961157342626688 23.643141806194325
10.927857230326993 23.523177347368865
10.8946638129202 23.403940657757005
10.861576760625798 23.28542720187968
10.828595744701923 23.16763247262656
10.79572043744208 23.050551991078557
10.762950512171871 22.93418130633138
10.730285643245747 22.81851599532025
10.697725506043732 22.703551662645673
10.665269776968197 22.589283940400296
10.632918133440622 22.475708487996897
10.600670253898379 22.362820991997374
10.568525817791512 22.250617165942902
10.536484505579539 22.139092750185053
10.504545998728254 22.028243511718046
10.47270997970655 21.918065244012016
10.440976131983238 21.808553766847314
10.409344140023888 21.6997049261499
10.377813689287676 21.59151459382767
10.346384466224226 21.483978667607925
10.31505615827049 21.37709307087575
10.28382845384762 21.270853752513474
10.252701042357836 21.16525668674111
10.221673614181338 21.060297872957786
10.190745860673198 20.95597333558418
10.159917474160272 20.85227912390596
10.12918814793812 20.74921131191814
10.098557576267945 20.646765998170498
10.068025454373522 20.544939305613884
10.037591478438152 20.443727381447534
10.007255345601617 20.34312639696733
9.977016753957153 20.24313254741501
9.946875402548415 20.14374205182829
9.916830991366469 20.044951152892
9.886883221346801 19.946756116790073
9.857031794366295 19.849153233058484
9.827276413240254 19.752138814439146
9.797616781719432 19.655709196734673
9.768052604487057 19.559860738664074
9.738583587155865 19.46458982171935
9.709209436265162 19.369892850022975
9.679929859277866 19.275766250186287
9.650744564577588 19.18220647116876
9.62165326146569 19.08920998413814
9.592655660158393 18.996773282331493
9.563751471783835 18.90489288091707
9.534940408379212 18.813565316857098
9.506222182887855 18.722787148771364
9.477596509156365 18.632554956801723
9.449063101931738 18.542865342477384
9.420621676858502 18.4537149285811
9.392271950475854 18.365100359016147
9.364013640214825 18.277018298674175
9.335846464395427 18.189465433303848
9.30777014222384 18.10243846938034
9.279784393789567 18.015934133975623
9.251888940062658 17.929949174629602
9.224083502890865 17.844480359222
9.196367804996864 17.75952447584508
9.168741569975476 17.675078332677185
9.141204522290874 17.59113875785702
9.113756387273813 17.507702599358765
9.086396891118877 17.424766724867926
9.05912576088171 17.342328021658005
9.031942724476282 17.260383396467926
9.00484751067214 17.178929775380197
8.977839849091694 17.09796410369991
8.950919470207468 17.017483345834403
8.924086105339416 16.937484485173755
8.897339486652202 16.857964523971997
8.870679347152493 16.778920483229047
8.844105420686287 16.70034940257342
8.817617441936223 16.622248340145642
8.791215146418903 16.54461437248243
8.764898270482238 16.467444594401552
8.738666551302776 16.39073611888744
8.712519726883059 16.314486076977506
8.686457536048986 16.23869161764917
8.660479718447165 16.163349907707612
8.634586014542306 16.088458131674184
8.60877616561458 16.014013491675577
8.583049913757023 15.940013207333632
8.557407001872932 15.866454515655871
8.531847173673256 15.793334670926699
8.506370173674034 15.7206509445993
8.480975747193787 15.64840062518818
8.455663640350958 15.576581018162434
8.430433600061349 15.505189445839619
8.405285374035563 15.434223247280348
8.380218710776449 15.3636797781835
8.355233359576564 15.29355641078211
8.330329070515635 15.22385053373991
8.305505594458037 15.154559552048498
8.280762683050266 15.085680886925182
8.256100088718432 15.017211975711435
8.231517564665749 14.949150271771993
8.207014864870045 14.881493244394598
8.182591744081263 14.814238378690353
8.158247957818979 14.7473831754947
8.13398326236994 14.680925151269035
8.10979741478557 14.614861838002916
8.08569017287953 14.549190783116908
8.061661295225264 14.483909549366006
8.037710541153528 14.419015714743686
8.013837670749984 14.354506872386553
7.99004244485274 14.290380630479577
7.966324625049942 14.226634612161929
7.942683973677346 14.163266455433398
7.91912025381591 14.100273813061412
7.89563322928939 14.037654352488612
7.872222664661944 13.975405755741043
7.848888325235738 13.91352571933688
7.8256299770485676 13.852011954195746
7.80244738687148 13.790862185548598
